Date,Close Price
1/1/14 00:00,770.44
1/2/14 00:00,808.05
1/3/14 00:00,830.02
1/4/14 00:00,858.98
1/5/14 00:00,940.1
1/6/14 00:00,951.39
1/7/14 00:00,810.58
1/8/14 00:00,859.95
1/9/14 00:00,860.89
1/10/14 00:00,884.67
1/11/14 00:00,930.9
1/12/14 00:00,873.26
1/13/14 00:00,857.96
1/14/14 00:00,851.83
1/15/14 00:00,874.71
1/16/14 00:00,847.37
1/17/14 00:00,828.22
1/18/14 00:00,843.76
1/19/14 00:00,878.68
1/20/14 00:00,871.05
1/21/14 00:00,874.29
1/22/14 00:00,863.95
1/23/14 00:00,854.35
1/24/14 00:00,825.12
1/25/14 00:00,861.85
1/26/14 00:00,880.15
1/27/14 00:00,814.53
1/28/14 00:00,833.94
1/29/14 00:00,837.51
1/30/14 00:00,845.85
1/31/14 00:00,848.29
2/1/14 00:00,853.02
2/2/14 00:00,854.37
2/3/14 00:00,846.9
2/4/14 00:00,842.01
2/5/14 00:00,820.87
2/6/14 00:00,783.62
2/7/14 00:00,703.57
2/8/14 00:00,676.91
2/9/14 00:00,681.94
2/10/14 00:00,679.73
2/11/14 00:00,669.44
2/12/14 00:00,648.38
2/13/14 00:00,598.41
2/14/14 00:00,656.61
2/15/14 00:00,645.43
2/16/14 00:00,610.65
2/17/14 00:00,621.49
2/18/14 00:00,621.22
2/19/14 00:00,617.71
2/20/14 00:00,552.21
2/21/14 00:00,569.04
2/22/14 00:00,604.75
2/23/14 00:00,604.58
2/24/14 00:00,545.32
2/25/14 00:00,534.71
2/26/14 00:00,577.09
2/27/14 00:00,576.7
2/28/14 00:00,543.93
3/1/14 00:00,563.74
3/2/14 00:00,560.3
3/3/14 00:00,661.12
3/4/14 00:00,663.6
3/5/14 00:00,661.79
3/6/14 00:00,658.72
3/7/14 00:00,625.83
3/8/14 00:00,615.24
3/9/14 00:00,633.18
3/10/14 00:00,625.83
3/11/14 00:00,628.95
3/12/14 00:00,631.39
3/13/14 00:00,638.16
3/14/14 00:00,626.71
3/15/14 00:00,633.67
3/16/14 00:00,630.72
3/17/14 00:00,621.22
3/18/14 00:00,613.63
3/19/14 00:00,608.82
3/20/14 00:00,586.59
3/21/14 00:00,570.77
3/22/14 00:00,564.42
3/23/14 00:00,561.35
3/24/14 00:00,586.27
3/25/14 00:00,582.28
3/26/14 00:00,579.07
3/27/14 00:00,478.16
3/28/14 00:00,502.44
3/29/14 00:00,493.18
3/30/14 00:00,461.87
3/31/14 00:00,458.5
4/1/14 00:00,478.72
4/2/14 00:00,437.51
4/3/14 00:00,447.08
4/4/14 00:00,448.88
4/5/14 00:00,464.83
4/6/14 00:00,460.7
4/7/14 00:00,446.22
4/8/14 00:00,450.46
4/9/14 00:00,440.2
4/10/14 00:00,360.84
4/11/14 00:00,420.06
4/12/14 00:00,420.66
4/13/14 00:00,414.95
4/14/14 00:00,457.63
4/15/14 00:00,520.12
4/16/14 00:00,529.16
4/17/14 00:00,494.4
4/18/14 00:00,478.23
4/19/14 00:00,501.55
4/20/14 00:00,497.32
4/21/14 00:00,493.09
4/22/14 00:00,484.43
4/23/14 00:00,486.93
4/24/14 00:00,500.26
4/25/14 00:00,459.61
4/26/14 00:00,456.14
4/27/14 00:00,429.65
4/28/14 00:00,437.06
4/29/14 00:00,444.25
4/30/14 00:00,445.87
5/1/14 00:00,456.27
5/2/14 00:00,446.64
5/3/14 00:00,436.94
5/4/14 00:00,434.06
5/5/14 00:00,429.72
5/6/14 00:00,426.99
5/7/14 00:00,436.96
5/8/14 00:00,435.34
5/9/14 00:00,448.23
5/10/14 00:00,452.71
5/11/14 00:00,436.54
5/12/14 00:00,438.43
5/13/14 00:00,437.41
5/14/14 00:00,441.75
5/15/14 00:00,444.32
5/16/14 00:00,445.01
5/17/14 00:00,446.36
5/18/14 00:00,444.81
5/19/14 00:00,444.31
5/20/14 00:00,485.83
5/21/14 00:00,489.16
5/22/14 00:00,526.06
5/23/14 00:00,519.04
5/24/14 00:00,525.63
5/25/14 00:00,570.09
5/26/14 00:00,581.83
5/27/14 00:00,569.63
5/28/14 00:00,574.45
5/29/14 00:00,565.51
5/30/14 00:00,616.47
5/31/14 00:00,623.26
6/1/14 00:00,629.02
6/2/14 00:00,658.79
6/3/14 00:00,665.73
6/4/14 00:00,636.78
6/5/14 00:00,656.06
6/6/14 00:00,645.56
6/7/14 00:00,652.71
6/8/14 00:00,653.64
6/9/14 00:00,645.34
6/10/14 00:00,649.81
6/11/14 00:00,627.91
6/12/14 00:00,581.8
6/13/14 00:00,597.43
6/14/14 00:00,571.69
6/15/14 00:00,591.97
6/16/14 00:00,588.06
6/17/14 00:00,607.34
6/18/14 00:00,604.88
6/19/14 00:00,592.26
6/20/14 00:00,588.52
6/21/14 00:00,591.03
6/22/14 00:00,598.88
6/23/14 00:00,587.46
6/24/14 00:00,575.07
6/25/14 00:00,562.13
6/26/14 00:00,579.38
6/27/14 00:00,600.86
6/28/14 00:00,591.99
6/29/14 00:00,598.6
6/30/14 00:00,639.36
7/1/14 00:00,635.59
7/2/14 00:00,647.34
7/3/14 00:00,640.69
7/4/14 00:00,626.96
7/5/14 00:00,628.33
7/6/14 00:00,631.71
7/7/14 00:00,617.99
7/8/14 00:00,620.22
7/9/14 00:00,620.55
7/10/14 00:00,615.11
7/11/14 00:00,631.18
7/12/14 00:00,634.48
7/13/14 00:00,627.58
7/14/14 00:00,618.38
7/15/14 00:00,619.36
7/16/14 00:00,615.2
7/17/14 00:00,622.62
7/18/14 00:00,628.22
7/19/14 00:00,625.8
7/20/14 00:00,621.37
7/21/14 00:00,620.01
7/22/14 00:00,618.81
7/23/14 00:00,617.93
7/24/14 00:00,600.01
7/25/14 00:00,599.93
7/26/14 00:00,593.85
7/27/14 00:00,590.95
7/28/14 00:00,584.69
7/29/14 00:00,582.2
7/30/14 00:00,564.37
7/31/14 00:00,581.35
8/1/14 00:00,595.08
8/2/14 00:00,587.29
8/3/14 00:00,585.51
8/4/14 00:00,586.76
8/5/14 00:00,583.11
8/6/14 00:00,583.04
8/7/14 00:00,587.4
8/8/14 00:00,590.53
8/9/14 00:00,588.09
8/10/14 00:00,589.45
8/11/14 00:00,573.31
8/12/14 00:00,568.21
8/13/14 00:00,544.57
8/14/14 00:00,508.55
8/15/14 00:00,496.62
